Rank,Club,Country,Level,Elo,From,To
None,Viktoria Plzen,CZE,1,1533.63232422,2019-09-01,2019-09-23
None,Charleroi,BEL,1,1531.34912109,2019-09-01,2019-09-13
None,Preston,ENG,2,1530.98571777,2019-09-01,2019-09-14
None,Middlesbrough,ENG,2,1530.45166016,2019-09-01,2019-09-14
None,Guimaraes,POR,1,1528.85900879,2019-09-09,2019-09-14
None,Rapid Wien,AUT,1,1526.73205566,2019-09-02,2019-09-15
None,Molde,NOR,1,1525.15234375,2019-09-02,2019-09-23
None,Kortrijk,BEL,1,1524.57971191,2019-09-01,2019-09-15
None,Forest,ENG,2,1523.91479492,2019-09-01,2019-09-14
None,Metz,FRA,1,1522.13916016,2019-08-31,2019-09-14
None,Sheffield Weds,ENG,2,1521.98278809,2019-09-01,2019-09-15
None,Rijeka,CRO,1,1520.89855957,2019-09-02,2019-09-23
None,Razgrad,BUL,1,1518.94470215,2019-09-02,2019-09-14
None,Larnaca,CYP,0,1518.06799316,2019-08-30,2019-09-23
None,Midtjylland,DEN,1,1517.92895508,2019-09-02,2019-09-15
None,Hannover,GER,2,1516.64245605,2019-09-02,2019-09-14
None,Cagliari,ITA,1,1513.13549805,2019-09-02,2019-09-15
None,Rio Ave,POR,1,1513.08886719,2019-09-09,2019-09-15
None,Rosenborg,NOR,1,1510.5057373,2019-09-02,2019-09-23
None,Parma,ITA,1,1509.98071289,2019-09-02,2019-09-15
None,Utrecht,NED,1,1509.2902832,2019-09-02,2019-09-14
None,Brest,FRA,1,1509.28564453,2019-09-01,2019-09-14
None,FK Astana,KAZ,0,1508.39916992,2019-08-30,2019-09-23
None,Toulouse,FRA,1,1506.63916016,2019-09-01,2019-09-15
None,Terek Grozny,RUS,1,1506.24194336,2019-09-01,2019-09-23
None,Hajduk,CRO,1,1505.53649902,2019-09-01,2019-09-23
None,Bielefeld,GER,2,1504.48400879,2019-09-01,2019-09-14
None,Antwerp,BEL,1,1503.17028809,2019-09-02,2019-09-15
None,Birmingham,ENG,2,1502.39672852,2019-09-01,2019-09-14
None,Tula,RUS,1,1501.86950684,2019-09-02,2019-09-23
None,Oviedo,ESP,2,1501.68591309,2019-09-09,2019-09-23
None,AIK,SWE,1,1501.55310059,2019-09-02,2019-09-15
None,Dynamo Moskva,RUS,1,1501.54858398,2019-08-31,2019-09-23
None,Troyes,FRA,2,1499.17980957,2019-08-31,2019-09-23
None,Anderlecht,BEL,1,1498.98999023,2019-09-02,2019-09-15
None,Boavista,POR,1,1498.42626953,2019-08-31,2019-09-15
None,Paderborn,GER,1,1496.71386719,2019-09-01,2019-09-15
None,M Tel Aviv,ISR,1,1496.28759766,2019-09-02,2019-09-23
None,Wolfsberg,AUT,1,1495.66821289,2019-09-01,2019-09-15
None,Zorya,UKR,1,1490.68505859,2019-09-02,2019-09-23
None,Amiens,FRA,1,1490.55456543,2019-09-01,2019-09-13
None,Las Palmas,ESP,2,1489.88928223,2019-09-08,2019-09-23
None,Hull,ENG,2,1489.28527832,2019-09-01,2019-09-14
None,St Truiden,BEL,1,1487.76611328,2019-09-01,2019-09-14
None,Rubin Kazan,RUS,1,1487.29711914,2019-09-01,2019-09-15
None,Norrkoeping,SWE,1,1485.94616699,2019-09-02,2019-09-15
None,Zulte Waregem,BEL,1,1481.58679199,2019-09-02,2019-09-14
None,Osijek,CRO,1,1481.00195312,2019-09-01,2019-09-23
None,Huddersfield,ENG,2,1480.86560059,2019-09-01,2019-09-15
None,Elche,ESP,2,1480.2076416,2019-09-09,2019-09-23
None,Nuernberg,GER,2,1479.57861328,2019-08-31,2019-09-15
None,Brescia,ITA,1,1478.97045898,2019-09-01,2019-09-15
None,Heidenheim,GER,2,1478.87365723,2019-08-31,2019-09-14
None,Sturm Graz,AUT,1,1478.07617188,2019-09-02,2019-09-14
None,Djurgarden,SWE,1,1477.65820312,2019-09-02,2019-09-16
None,Le Havre,FRA,2,1477.20715332,2019-08-31,2019-09-23
None,Numancia,ESP,2,1476.94726562,2019-09-08,2019-09-23
None,Tenerife,ESP,2,1475.32446289,2019-09-08,2019-09-23
None,BATE,BLR,1,1474.12817383,2019-09-02,2019-09-23
None,Stoke,ENG,2,1473.34057617,2019-09-01,2019-09-14
None,Extremadura,ESP,2,1471.84179688,2019-09-08,2019-09-23
None,Karabakh Agdam,AZE,0,1471.73461914,2019-08-30,2019-09-23
None,Blackburn,ENG,2,1471.54370117,2019-09-01,2019-09-14
None,Millwall,ENG,2,1471.25598145,2019-09-01,2019-09-14
None,Steaua,ROM,1,1471.0826416,2019-09-02,2019-09-15
None,Regensburg,GER,2,1469.97705078,2019-09-01,2019-09-14
None,Ferencvaros,HUN,1,1469.5925293,2019-09-02,2019-09-23
None,Holstein,GER,2,1467.92419434,2019-09-02,2019-09-14
None,Orenburg,RUS,1,1466.99645996,2019-09-01,2019-09-15
None,Charlton,ENG,2,1466.76135254,2019-09-01,2019-09-14
None,Moreirense,POR,1,1466.47680664,2019-08-31,2019-09-15
None,Dijon,FRA,1,1466.33691406,2019-09-01,2019-09-14
None,Sparta Praha,CZE,1,1466.21130371,2019-09-02,2019-09-23
None,Sverdlovsk,RUS,1,1464.91662598,2019-09-02,2019-09-23
None,Ufa,RUS,1,1464.41381836,2019-09-01,2019-09-23
None,Lugo,ESP,2,1463.41784668,2019-09-09,2019-09-23
None,Lorient,FRA,2,1463.22412109,2019-09-01,2019-09-23
None,Fuenlabrada,ESP,2,1463.10192871,2019-09-08,2019-09-23
None,Reading,ENG,2,1462.94372559,2019-09-01,2019-09-14
None,Haecken,SWE,1,1462.47583008,2019-09-02,2019-09-15
None,Sandhausen,GER,2,1460.64782715,2019-08-31,2019-09-13
None,QPR,ENG,2,1459.80541992,2019-09-01,2019-09-14
None,Den Haag,NED,1,1457.87939453,2019-09-01,2019-09-15
None,Alanyaspor,TUR,1,1455.45849609,2019-09-02,2019-09-23
None,Frosinone,ITA,2,1454.8293457,2019-09-02,2019-09-23
None,Guingamp,FRA,2,1454.41967773,2019-09-01,2019-09-23
None,Darmstadt,GER,2,1454.13110352,2019-08-31,2019-09-15
None,Alcorcon,ESP,2,1453.67504883,2019-09-09,2019-09-23
None,AEL Limassol,CYP,0,1451.43859863,2019-08-30,2019-09-23
None,Atromitos,GRE,1,1450.66088867,2019-09-02,2019-09-23
None,CSKA Sofia,BUL,1,1449.92810059,2019-09-02,2019-09-14
None,Viitorul,ROM,1,1447.68115234,2019-09-02,2019-09-16
None,Brondby,DEN,1,1446.62658691,2019-09-02,2019-09-15
None,Konyaspor,TUR,1,1445.14440918,2019-09-01,2019-09-23
None,Sion,SUI,1,1444.78710938,2019-09-02,2019-09-23
None,Benevento,ITA,2,1444.72009277,2019-09-01,2019-09-23
None,Ponferradina,ESP,2,1444.58837891,2019-09-08,2019-09-23
None,Mouscron,BEL,1,1443.84484863,2019-08-31,2019-09-15
None,Olexandriya,UKR,1,1443.64758301,2019-09-01,2019-09-23
None,Maribor,SVN,0,1442.87939453,2019-08-30,2019-09-23
None,Austria Wien,AUT,1,1441.30090332,2019-09-02,2019-09-15
None,Videoton,HUN,1,1441.17858887,2019-09-01,2019-09-23
None,Jablonec,CZE,1,1440.65344238,2019-09-02,2019-09-23
None,Lens,FRA,2,1439.57104492,2019-09-03,2019-09-23
None,Verona,ITA,1,1439.1730957,2019-09-02,2019-09-15
None,Osnabrueck,GER,2,1439.13867188,2019-09-02,2019-09-15
None,Lecce,ITA,1,1438.97021484,2019-09-02,2019-09-16
None,Crotone,ITA,2,1437.96801758,2019-09-01,2019-09-23
None,Hammarby,SWE,1,1437.91271973,2019-09-02,2019-09-15
None,Rizespor,TUR,1,1437.16564941,2019-09-01,2019-09-23
None,Groningen,NED,1,1436.9387207,2019-09-01,2019-09-14
None,Aue,GER,2,1436.01843262,2019-09-02,2019-09-15
None,Maritimo,POR,1,1435.25085449,2019-09-01,2019-09-15
None,Lugano,SUI,1,1434.46887207,2019-09-02,2019-09-23
None,Belenenses,POR,1,1434.36828613,2019-08-31,2019-09-15
None,Chievo,ITA,2,1433.38537598,2019-08-31,2019-09-23
None,Craiova,ROM,1,1431.98937988,2019-08-31,2019-09-15
None,Santa Clara,POR,1,1431.75720215,2019-09-02,2019-09-15
None,Famalicao,POR,1,1431.68798828,2019-09-01,2019-09-14
None,Beer-Sheva,ISR,1,1431.6151123,2019-09-02,2019-09-23
None,Luton,ENG,2,1431.49523926,2019-09-01,2019-09-14
None,Mirandes,ESP,2,1430.44543457,2019-09-09,2019-09-23
None,Caen,FRA,2,1430.4387207,2019-08-31,2019-09-23
None,Bochum,GER,2,1430.33239746,2019-09-03,2019-09-15
None,Mlada Boleslav,CZE,1,1430.1451416,2019-09-01,2019-09-23
None,Fuerth,GER,2,1429.93493652,2019-09-01,2019-09-13
None,Wigan,ENG,2,1429.63842773,2019-09-01,2019-09-14
None,Dresden,GER,2,1428.3314209,2019-09-01,2019-09-15
None,Malatyaspor,TUR,1,1428.06872559,2019-09-02,2019-09-23
None,Clermont,FRA,2,1427.81494141,2019-08-31,2019-09-23
None,Soligorsk,BLR,1,1426.88696289,2019-09-02,2019-09-23
None,St Pauli,GER,2,1426.02160645,2019-09-01,2019-09-23
None,Sivasspor,TUR,1,1425.36206055,2019-09-02,2019-09-23
None,Willem II,NED,1,1423.65930176,2019-09-02,2019-09-15
None,Legia,POL,1,1423.52783203,2019-09-02,2019-09-23
None,Santander,ESP,2,1422.36499023,2019-09-07,2019-09-23
None,Portimonense,POR,1,1422.15478516,2019-08-31,2019-09-15
None,Panathinaikos,GRE,1,1419.2277832,2019-09-01,2019-09-23
None,Heerenveen,NED,1,1417.4407959,2019-09-01,2019-09-14
None,Luzern,SUI,1,1416.95788574,2019-09-02,2019-09-23
None,Sochi,RUS,1,1416.93493652,2019-09-01,2019-09-23
None,Tondela,POR,1,1416.37719727,2019-09-02,2019-09-15
None,Oostende,BEL,1,1414.35522461,2019-09-01,2019-09-14
None,Gaz Metan,ROM,1,1414.15734863,2019-09-01,2019-09-16
None,Aberdeen,SCO,1,1411.72094727,2019-09-01,2019-09-23
None,Karlsruhe,GER,2,1409.38378906,2019-09-02,2019-09-13
None,Aves,POR,1,1409.3704834,2019-09-01,2019-09-14
None,Ilichivets,UKR,1,1408.35900879,2019-09-01,2019-09-23
None,Nordsjaelland,DEN,1,1407.58288574,2019-09-01,2019-09-15
None,Kryliya Sovetov,RUS,1,1407.49121094,2019-08-31,2019-09-15
None,Cittadella,ITA,2,1407.32727051,2019-09-01,2019-09-23
None,Altach,AUT,1,1406.48535156,2019-09-02,2019-09-15
None,Levski,BUL,1,1404.31213379,2019-09-02,2019-09-15
None,Hartberg,AUT,1,1404.27624512,2019-09-02,2019-09-14
None,Barnsley,ENG,2,1404.25732422,2019-09-01,2019-09-15
None,HNK Gorica,CRO,1,1403.66943359,2019-09-02,2019-09-23
None,Spezia,ITA,2,1403.06079102,2019-09-01,2019-09-23
None,Mattersburg,AUT,1,1402.97680664,2019-09-01,2019-09-14
None,Setubal,POR,1,1402.81811523,2019-09-01,2019-09-13
None,Gil Vicente,POR,1,1402.0390625,2019-09-01,2019-09-14
None,Aarhus,DEN,1,1402.01135254,2019-09-02,2019-09-15
None,Zuerich,SUI,1,1401.93347168,2019-08-28,2019-09-23
None,StGallen,SUI,1,1401.00219727,2019-08-28,2019-09-23
None,Antalyaspor,TUR,1,1399.27746582,2019-09-01,2019-09-23
None,Heracles,NED,1,1399.25866699,2019-09-01,2019-09-15
None,Tambov,RUS,1,1398.53845215,2019-09-01,2019-09-15
None,Mechelen,BEL,1,1397.94274902,2019-08-31,2019-09-15
None,Odd Grenland,NOR,1,1397.82250977,2019-08-31,2019-09-23
None,Dinamo Brest,BLR,1,1397.79553223,2019-09-01,2019-09-23
None,Perugia,ITA,2,1396.22900391,2019-09-01,2019-09-23
None,Cremonese,ITA,2,1395.9831543,2019-09-01,2019-09-23
None,Botosani,ROM,1,1394.63964844,2019-08-31,2019-09-14
None,Odense,DEN,1,1392.85424805,2019-08-31,2019-09-16
None,Trnava,SLK,0,1392.76013184,2019-08-30,2019-09-23
None,Lok Zagreb,CRO,1,1392.35314941,2019-08-31,2019-09-23
None,Ankaraguecue,TUR,1,1389.99414062,2019-08-31,2019-09-23
None,Goeztepe,TUR,1,1389.67468262,2019-09-01,2019-09-23
None,Paris FC,FRA,2,1388.56140137,2019-09-03,2019-09-23
None,Thun,SUI,1,1387.8918457,2019-09-02,2019-09-23
None,Aris,GRE,1,1387.57336426,2019-09-01,2019-09-23
None,Brann,NOR,1,1387.28466797,2019-09-02,2019-09-23
None,Slovan Liberec,CZE,1,1386.49804688,2019-09-01,2019-09-23
None,Piast Gliwice,POL,1,1384.74853516,2019-09-01,2019-09-23
None,Astra,ROM,1,1384.42724609,2019-09-01,2019-09-13
None,Goeteborg,SWE,1,1384.26342773,2019-09-02,2019-09-15
None,Bodoe Glimt,NOR,1,1383.10046387,2019-08-31,2019-09-23
None,Servette,SUI,1,1382.68554688,2019-09-01,2019-09-23
None,Sigma Olomouc,CZE,1,1382.53540039,2019-09-02,2019-09-23
None,Zwolle,NED,1,1382.21386719,2019-08-31,2019-09-15
None,Valenciennes,FRA,2,1381.90283203,2019-08-31,2019-09-23
None,Pescara,ITA,2,1381.24487305,2019-09-02,2019-09-23
None,Xanthi,GRE,1,1380.96716309,2019-09-01,2019-09-23
None,Kayseri,TUR,1,1380.4519043,2019-08-31,2019-09-23
None,Twente,NED,1,1380.3717041,2019-09-02,2019-09-15
None,Venlo,NED,1,1379.93371582,2019-09-01,2019-09-14
None,Haugesund,NOR,1,1379.7076416,2019-09-02,2019-09-23
None,Niort,FRA,2,1379.31921387,2019-08-31,2019-09-23
None,Cukaricki,SRB,0,1378.86401367,2019-08-30,2019-09-23
None,Entella,ITA,2,1378.44152832,2019-09-01,2019-09-23
None,Pacos Ferreira,POR,1,1378.33898926,2019-09-01,2019-09-14
None,Vorskla,UKR,1,1378.2668457,2019-09-01,2019-09-23
None,Jagiellonia,POL,1,1376.66699219,2019-08-31,2019-09-23
None,Denizlispor,TUR,1,1376.54064941,2019-09-01,2019-09-23
None,Wehen,GER,2,1376.32910156,2019-09-01,2019-09-13
None,Pisa,ITA,2,1375.18713379,2019-09-02,2019-09-23
None,Kasimpasa,TUR,1,1373.78381348,2019-08-31,2019-09-23
None,Sparta Rotterdam,NED,1,1372.00231934,2019-09-02,2019-09-14
None,Desna,UKR,1,1371.58337402,2019-08-31,2019-09-23
None,Slovan Bratislava,SLK,0,1369.69262695,2019-08-30,2019-09-23
None,Dinamo Minsk,BLR,1,1369.14013672,2019-09-02,2019-09-23
None,Dinamo Bucuresti,ROM,1,1367.24182129,2019-09-03,2019-09-14
None,Aalborg,DEN,1,1367.0369873,2019-09-02,2019-09-15
None,Ajaccio,FRA,2,1365.85498047,2019-08-31,2019-09-23
None,Venezia,ITA,2,1365.02172852,2019-09-01,2019-09-23
None,Cosenza,ITA,2,1364.90539551,2019-09-01,2019-09-23
None,Asteras Tripolis,GRE,1,1362.1751709,2019-09-02,2019-09-23
None,Dunajska,SLK,0,1362.15063477,2019-08-30,2019-09-23
None,Auxerre,FRA,2,1361.95605469,2019-08-31,2019-09-23
None,Karpaty,UKR,1,1360.59362793,2019-08-31,2019-09-23
None,Ruzomberok,SLK,0,1359.64355469,2019-08-30,2019-09-23
None,Kilmarnock,SCO,1,1359.12231445,2019-09-01,2019-09-23
None,Xamax,SUI,1,1358.18432617,2019-09-01,2019-09-23
None,Bnei Yehuda,ISR,1,1356.8605957,2019-09-02,2019-09-23
None,Admira,AUT,1,1356.38696289,2019-09-01,2019-09-15
None,FC Lviv,UKR,1,1355.98352051,2019-09-01,2019-09-23
None,Kristiansund,NOR,1,1355.98095703,2019-09-02,2019-09-23
None,Valerenga,NOR,1,1355.49853516,2019-09-02,2019-09-23
None,Slovacko,CZE,1,1355.41711426,2019-09-01,2019-09-23
None,St Poelten,AUT,1,1355.39367676,2019-09-02,2019-09-15
None,Chambly Oise,FRA,2,1353.29882812,2019-09-03,2019-09-23
None,Pordenone,ITA,2,1353.03210449,2019-09-02,2019-09-23
None,Grenoble,FRA,2,1352.02026367,2019-09-03,2019-09-23
None,Nancy,FRA,2,1351.80371094,2019-08-31,2019-09-23
None,OFI,GRE,1,1351.16027832,2019-09-01,2019-09-23
None,Randers,DEN,1,1350.42907715,2019-09-02,2019-09-15
None,Chateauroux,FRA,2,1349.66271973,2019-08-31,2019-09-23
None,Gaziantep FK,TUR,1,1348.99353027,2019-09-02,2019-09-23
None,Pogon,POL,1,1348.9786377,2019-09-02,2019-09-23
None,Dnipro,UKR,1,1347.7388916,2019-09-01,2019-09-23
None,Beveren,BEL,1,1347.20751953,2019-09-01,2019-09-14
None,Emmen,NED,1,1346.4822998,2019-08-31,2019-09-14
None,Orleans,FRA,2,1346.35009766,2019-08-31,2019-09-23
None,Sarpsborg,NOR,1,1345.82763672,2019-09-02,2019-09-23
None,Wattens,AUT,1,1345.66223145,2019-09-01,2019-09-14
None,Juve Stabia,ITA,2,1345.21472168,2019-09-02,2019-09-23
None,Panionios,GRE,1,1344.70544434,2019-09-02,2019-09-23
None,Hibernian,SCO,1,1343.91296387,2019-09-01,2019-09-23
None,Ascoli,ITA,2,1343.36364746,2019-09-02,2019-09-23
